method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
A_blind_transfer,20,0.048449035845573,0.047530864973055,0.0642093836748415,0.0165121146161181,0.00289160958757781,0.00182076266809556,2.19602264,NaN,1,0,5
B_gap_library_joint,20,0.0276421871175557,0.0167925430206139,0.0519853756738883,0.02187530721457,0.00233820699993006,0.001860144207588,0.34245864,0.00683143286036061,1,0,5
C_same_gap_direct,20,0.0254652774794181,0.0152082185655047,0.0493668770694398,0.0216409108188728,0.00207570945732935,0.00185570395385804,0.14385796,0,1,0,5
A_blind_transfer,15,0.138078072217803,0.15214452901489,0.196185514207735,0.073105820208632,0.00484872768771102,0.0032823636491629,1.95935882,NaN,1,0,5
B_gap_library_joint,15,0.0410790912055859,0.0517573695722717,0.0571152016248846,0.0209679960529469,0.00306720310838882,0.00335338612707341,0.3357983,0.00683054894830735,1,0,5
C_same_gap_direct,15,0.0369499805305736,0.0477512794917345,0.0571292018076747,0.0241304057716084,0.00266898046643532,0.00334756311218909,0.15637322,0,1,0,5
A_blind_transfer,10,0.246941314947742,0.229627025109153,0.308278603214228,0.0652986480784866,0.0112665359812879,0.00572940674023419,2.47906848,NaN,1,0,5
B_gap_library_joint,10,0.101929329815999,0.0875221745435795,0.154638457725514,0.0482735399707553,0.00868571239363578,0.00585001368064976,0.29877786,0.00660856576288233,1,0,5
C_same_gap_direct,10,0.0976301647754383,0.0742652210510073,0.15073998621869,0.0482085891874594,0.00813047675494432,0.00584933001809985,0.14929968,0,1,0,5
A_blind_transfer,5,5.3422508668755,0.529687685622463,15.1989436378707,10.9581986733978,0.0141634946579477,0.0100849829404788,1.92102004,NaN,0.8,0,5
B_gap_library_joint,5,0.1400523609434,0.155370594568694,0.211119976486327,0.0770540392831393,0.0088707750192848,0.0103699410443695,0.2824442,0.0086474920306292,1,0,5
C_same_gap_direct,5,0.148991017901949,0.181318672933799,0.202737144842081,0.066277051112273,0.00850026015890349,0.0103688729934013,0.14838412,0,1,0,5
A_blind_transfer,0,18.1181226364733,24.9688234699473,33.7661545717084,17.1469188020592,0.0590228069031195,0.0178568916977632,2.14539098,NaN,0.4,0,5
B_gap_library_joint,0,30.1676263783709,0.312217508011287,89.9523034426165,66.7073114015845,0.0124992797893033,0.0184314621683157,0.34675862,0.0103533486197475,0.8,0.2,5
C_same_gap_direct,0,30.1909255717539,0.330016901601908,89.9627603190092,66.7100820595794,0.0147709445007225,0.0184350195374013,0.19688074,0,0.8,0.2,5
